organization_or_show,email_address,description,kind
The Social Impact Firm,hello@thesocialimpact.co,Consulting and newsletter focused on social impact; publishes The Social Impact Newsletter and The Dena Report,newsletter
Tech Won't Save Us / Disconnect,paris@parismarx.com,Podcast and newsletter covering critical tech/social issues,podcast;newsletter
StateScoop,hello@statescoop.com,Daily newsletter and news site for state/local government IT,newsletter
Impact Hustlers,maiko@impacthustlers.com,Podcast and community for impact-driven entrepreneurs,podcast
Civics 101,civics101@nhpr.org,Podcast about how U.S. government works from New Hampshire Public Radio,podcast
Tech for Good Live,hello@techforgood.live,Podcast and newsletter about positive uses of technology,podcast;newsletter
Forward Progress (The Huddle Team),forwardprogress@thehuddle.team,Newsletter/content project focused on progress and leadership in teams,newsletter
Causeartist,grant@causeartist.com,Newsletter and media site for social impact and entrepreneurship,newsletter
Metis Strategy / Technovation,peter.high@metisstrategy.com,Podcast and executive insights newsletter,podcast;newsletter
Innovation Leader,editor@innovationleader.com,Newsletter/media about corporate innovation,newsletter
Democracy Notes,gabe@democracy-notes.org,Newsletter/project about democracy and civic engagement,newsletter
Open Austin,info+noreply@open-austin.org,Local civic tech group; likely sends newsletters/event updates,newsletter
Chi Hack Night,info@chihacknight.org,Civic tech group in Chicago distributing newsletters,newsletter
Alliance of Civic Technologists (ACT Network),hello@civictechnologists.org,Newsletter covering civic tech organizations and ACT Network,newsletter
Code for Boston,hello@codeforboston.org,Local civic tech group, likely shares updates/newsletter,newsletter
Civic Tech Atlanta,luigi@civictechatlanta.org,Community civic tech group sharing updates/newsletter,newsletter
Community IT,cwoodard@communityit.com,Technology provider to nonprofits; shares updates/newsletter,newsletter
BetaNYC,noel@beta.nyc,Civic tech/open government group, distributing newsletters/events,newsletter
